;;;;;;;;;;;;;;;;;;;;;;;
;DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;;; VOLUME TOTAL (R$) ;;;
;NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO.)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS;;ANO;IPO;FOLLOW-ON;TOTAL
;CSU CARDSYST;NM;Serviços Diversos;Credit Suisse;IPO;ICVM 400;27/04/2006;R$ 18,00;02/05/06; 14.362 ; 15.585 ; 100.288.746 ; 240.683.832 ; 340.972.578 ;9%;16%;72%;4%;;;;;
;BRASILAGRO;NM;Exploração de Imóveis;Credit Suisse;IPO;ICVM 400;27/04/2006;R$ 1.000,00;02/05/06; 3 ; 39 ; 583.200.000 ; - ; 583.200.000 ;0%;3%;82%;14%;;;;;
;LUPATECH;NM;Motores, Compressores e Outros;Pactual;IPO;ICVM 400;11/05/2006;R$ 22,00;15/05/06; 11.198 ; 12.203 ; 155.048.652 ; 297.691.372 ; 452.740.024 ;8%;19%;73%;0%;;;;;
;GP INVEST ¹;BDR;Holdings Diversificadas;Credit Suisse;IPO;ICVM 400;30/05/2006;R$ 34,27;01/06/06; 2.356 ; 2.524 ; 705.980.849 ; - ; 705.980.849 ;4%;17%;76%;3%;;;;;
;DATASUL;NM;Programas e Serviços;UBS;IPO;ICVM 400;31/05/2006;R$ 18,00;02/06/06; 5.470 ; 5.973 ; 150.697.674 ; 166.314.834 ; 317.012.508 ;14%;13%;72%;2%;;;;;
;PORTO SEGURO;NM;Seguradoras;Pactual;FOLLOW-ON;ICVM 400;13/06/2006;R$ 33,50;14/06/06; 272 ; 350 ; - ; 201.000.000 ; 201.000.000 ;3%;43%;54%;0%;;;;;
;BRASIL;NM;Bancos;BB Investimentos;FOLLOW-ON;ICVM 400;26/06/2006;R$ 43,50;28/06/06; 48.602 ; 52.923 ; - ; 2.273.208.950 ; 2.273.208.950 ;28%;19%;51%;3%;;;;;
;CYRELA REALT;NM;Construção Civil;Credit Suisse;FOLLOW-ON;ICVM 400;19/07/2006;R$ 29,50;21/07/06; 1.283 ; 1.778 ; 728.650.000 ; 109.297.500 ; 837.947.500 ;4%;20%;75%;0%;;;;;
;MMX MINER;NM;Minerais Metálicos;Pactual;IPO;ICVM 400;20/07/2006;R$ 815,00;24/07/06; 17 ; 110 ; 1.118.895.570 ; - ; 1.118.895.570 ;0%;11%;76%;13%;;;;;
;ABYARA;NM;Construção Civil;Morgan Stanley;IPO;ICVM 400;25/07/2006;R$ 25,00;27/07/06; 6 ; 37 ; 163.770.250 ; - ; 163.770.250 ;1%;4%;83%;12%;;;;;
;CESP;N1;Energia Elétrica;UBS;FOLLOW-ON;ICVM 400;27/07/2006;R$ 0,01;28/07/06; 3.036 ; 4.049 ; 3.200.000.000 ; - ; 3.200.000.000 ;2%;25%;30%;42%;;;;;
;MEDIAL SAUDE;NM;Serv. Méd. Hospit., Análises e Diagnósticos;Credit Suisse;IPO;ICVM 400;20/09/2006;R$ 21,50;22/09/06; 3.061 ; 3.596 ; 474.075.000 ; 268.212.328 ; 742.287.328 ;7%;17%;76%;1%;;;;;
;ELETROPAULO;N2;Energia Elétrica;Credit Suisse;FOLLOW-ON;ICVM 400;21/09/2006;R$ 0,09;25/09/06; 3.660 ; 4.478 ; - ; 1.345.481.065 ; 1.345.481.065 ;9%;30%;60%;1%;;;;;
;KLABINSEGALL;NM;Construção Civil;Deutsche Bank;IPO;ICVM 400;05/10/2006;R$ 15,00;09/10/06; 4.624 ; 5.131 ; 360.573.750 ; 166.773.750 ; 527.347.500 ;9%;26%;65%;0%;;;;;
;SANTOS BRAS;N2;Serviços de Apoio e Armazenagem;Credit Suisse;IPO;ICVM 400;10/10/2006;R$ 23,00;13/10/06; 4.209 ; 4.873 ; 924.968.759 ; 8.433.341 ; 933.402.100 ;8%;14%;77%;0%;;;;;
;M.DIASBRANCO;NM;Alimentos Diversos;Pactual;IPO;ICVM 400;16/10/2006;R$ 21,00;18/10/06; 3.363 ; 3.737 ; - ; 410.766.300 ; 410.766.300 ;8%;20%;71%;1%;;;;;
;PERDIGAO S/A;NM;Carnes e Derivados;Credit Suisse;FOLLOW-ON;ICVM 400;26/10/2006;R$ 25,00;27/10/06; 4.212 ; 4.917 ; 800.000.000 ; - ; 800.000.000 ;7%;14%;47%;31%;;;;;
;BRASCAN RES;NM;Construção Civil;Credit Suisse;IPO;ICVM 400;19/10/2006;R$ 16,00;23/10/06; 4.272 ; 4.735 ; 940.000.000 ; 248.000.000 ; 1.188.000.000 ;7%;5%;87%;0%;;;;;
;PROFARMA;NM;Medicamentos;Credit Suisse;IPO;ICVM 400;24/10/2006;R$ 22,50;26/10/06; 4.514 ; 4.995 ; 310.500.000 ; 90.562.500 ; 401.062.500 ;9%;21%;70%;0%;;;;;
;TERNA PART;N2;Energia Elétrica;Itaú BBA;IPO;ICVM 400;25/10/2006;R$ 21,00;27/10/06; 6.258 ; 7.326 ; 371.360.304 ; 255.310.209 ; 626.670.513 ;8%;23%;65%;4%;;;;;
;ECODIESEL;NM;Exploração e/ou Refino;Banco Fator;IPO;ICVM 400;09/11/2006;R$ 12,00;22/11/06; 9.315 ; 9.841 ; 378.932.220 ; - ; 378.932.220 ;9%;23%;59%;9%;;;;;
;ODONTOPREV;NM;Serv. Méd. Hospit., Análises e Diagnósticos;Itaú BBA;IPO;ICVM 400;29/11/2006;R$ 28,00;01/12/06; 8.675 ; 9.772 ; 161.913.052 ; 360.118.192 ; 522.031.244 ;9%;26%;63%;3%;;;;;
;POSITIVO INF;NM;Computadores e Equipamentos;UBS;IPO;ICVM 400;07/12/2006;R$ 23,50;11/12/06; 18.466 ; 19.543 ; 65.800.000 ; 538.312.150 ; 604.112.150 ;9%;25%;64%;1%;;;;;
