;;;;;;;;;;;;;;;;;;;;;;;
;DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;;; VOLUME TOTAL (R$) ;;;
;NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO.)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS;;ANO;IPO;FOLLOW-ON;TOTAL
;LOCALIZA;NM;Aluguel de carros;BTG Pactual;FOLLOW-ON;ICVM 476;31/01/2019;R$ 33,00;04/02/19; 116 ; 906 ; 1.821.600.000 ; - ; 1.821.600.000 ;0%;54%;46%;0%;;;;;
;IRBBRASIL RE;NM;Seguradoras;Caixa;FOLLOW-ON;ICVM 476;26/02/2019;R$ 91,00;28/02/19; - ; 64 ; - ; 2.516.733.128 ; 2.516.733.128 ;0%;30%;70%;0%;;;;;
;BK BRASIL;NM;Restaurante e Similares;Itaú BBA;FOLLOW-ON;ICVM 476;22/03/2019;R$ 21,41;25/03/19; - ; 118 ; - ; 714.529.226 ; 714.529.226 ;0%;16%;83%;1%;;;;;
;ENEVA;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;04/04/2019;R$ 18,25;08/04/19; - ; 258 ; - ; 1.106.794.409 ; 1.106.794.409 ;0%;67%;32%;1%;;;;;
;CENTAURO;NM;Produtos Diversos;Bradesco BBI;IPO;ICVM 400;15/04/2019;R$ 12,50;17/04/19; 3.368 ; 3.582 ; 705.101.363 ; - ; 705.101.363 ;10%;50%;40%;0%;;;;;
;TOTVS;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;22/05/2019;R$ 39,50;24/05/19; - ; 172 ; 1.066.500.000 ; - ; 1.066.500.000 ;0%;55%;26%;20%;;;;;
;BTGP BANCO;N2;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;11/06/2019;R$ 46,00;13/06/19; - ; 138 ; - ; 2.539.200.000 ; 2.539.200.000 ;0%;67%;32%;0%;;;;;
;CPFL ENERGIA;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;12/06/2019;R$ 27,50;13/06/19; 27 ; 572 ; 3.694.341.585 ; - ; 3.694.341.585 ;0%;51%;49%;0%;;;;;
;INTERMEDICA;NM;Serv.Méd.Hospit..Análises e Diagnósticos;Itaú BBA;FOLLOW-ON;ICVM 476;18/06/2019;R$ 39,50;21/06/19; - ; 267 ; - ; 2.666.250.000 ; 2.666.250.000 ;0%;60%;40%;0%;;;;;
;LINX¹;NM;Programas e Serviços;Goldman Sachs;FOLLOW-ON;ICVM 400;25/06/2019;R$ 36,00;26/06/19; 664 ; 761 ; 831.600.000 ; 348.285.636 ; 1.179.885.636 ;7%;7%;86%;0%;;;;;
;PETROBRAS¹;N2;Exploração. Refino e Distribuição;Caixa;FOLLOW-ON;ICVM 400;25/06/2019;R$ 30,25;27/06/19; 13.251 ; 13.694 ; - ; 7.300.546.223 ; 7.300.546.223 ;21%;32%;46%;1%;;;;;
;NEOENERGIA;NM;Energia Elétrica;BB Investimentos;IPO;ICVM 400;07/06/2019;R$ 15,65;28/06/19; 21.595 ; 22.695 ; - ; 3.744.278.776 ; 3.744.278.776 ;16%;43%;39%;1%;;;;;
;LIGHT S/A;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;11/06/2019;R$ 18,75;02/07/19; 144 ; 664 ; 1.875.000.000 ; 624.999.994 ; 2.499.999.994 ;1%;52%;47%;0%;;;;;
;TECNISA;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;17/07/2019;R$ 1,10;19/07/19; 2 ; 381 ; 445.500.000 ; - ; 445.500.000 ;2%;67%;16%;15%;;;;;
;IRBBRASIL RE;NM;Seguradoras;BB Investimentos;FOLLOW-ON;ICVM 476;18/07/2019;R$ 88,00;22/07/19; - ; 520 ; - ; 7.390.103.600 ; 7.390.103.600 ;0%;27%;73%;0%;;;;;
;HAPVIDA;NM;Serv. Méd. Hospit., Análises e Diagnósticos;BTG Pactual;FOLLOW-ON;ICVM 476;24/07/2019;R$ 42,50;26/07/19; - ; 474 ; 2.664.495.000 ; - ; 2.664.495.000 ;0%;36%;53%;11%;;;;;
;MOVIDA;NM;Aluguel de carros;BTG Pactual;FOLLOW-ON;ICVM 476;25/07/2019;R$ 15,00;29/07/19; - ; 942 ; 532.500.000 ; 300.000.000 ; 832.500.000 ;0%;49%;44%;7%;;;;;
;BANCO INTER;N2;Bancos;Bradesco BBI;FOLLOW-ON;ICVM 476;29/07/2019;R$ 13,33;31/07/19; - ; 3.632 ; 1.247.688.000 ; - ; 1.247.688.000 ;0%;65%;3%;32%;;;;;
;PETROBRAS BR;NM;Exploração. Refino e Distribuição;JP Morgan;FOLLOW-ON;ICVM 400;23/07/2019;R$ 24,50;25/07/19; 7.348 ; 8.282 ; - ; 9.633.093.750 ; 9.633.093.750 ;10%;45%;45%;0%;;;;;
;TRISUL;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;12/09/2019;R$ 10,00;16/09/19; - ; 761 ; 405.000.000 ; - ; 405.000.000 ;0%;82%;11%;7%;;;;;
;BANCO PAN;N1;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;19/09/2019;R$ 8,25;23/09/19; - ; 671 ; 521.812.500 ; 521.812.500 ; 1.043.625.000 ;0%;64%;33%;3%;;;;;
;SINQIA;NM;Programas e Serviços;BTG Pactual;FOLLOW-ON;ICVM 476;17/09/2019;R$ 62,00;19/09/19; - ; 1.797 ; 362.700.000 ; - ; 362.700.000 ;0%;82%;12%;6%;;;;;
;OMEGA GER;NM;Energia Elétrica;BofA Merrill Lynch;FOLLOW-ON;ICVM 476;25/09/2019;R$ 30,00;27/09/19; 148 ; 358 ; 830.769.240 ; - ; 830.769.240 ;0%;65%;35%;0%;;;;;
;EZTEC;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;24/09/2019;R$ 36,25;26/09/19; - ; 889 ; 978.750.000 ; - ; 978.750.000 ;0%;67%;20%;13%;;;;;
;HELBOR;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;10/09/2019;R$ 2,65;14/10/19; - ; 581 ; 560.057.625 ; - ; 560.057.625 ;0%;47%;15%;37%;;;;;
;VIVARA S.A.;NM;Acessórios;Itaú BBA;IPO;ICVM 400;08/10/2019;R$ 24,00;10/10/19; 26.986 ; 27.872 ; 453.471.888 ; 1.787.377.536 ; 2.240.849.424 ;13%;56%;30%;0%;;;;;
;BRASIL;NM;Bancos;Caixa;FOLLOW-ON;ICVM 400;17/10/2019;R$ 44,05;21/10/19; 29.222 ; 30.039 ; - ; 5.836.921.765 ; 5.836.921.765 ;32%;37%;30%;1%;;;;;
;LOG COM PROP;NM;Exploração de Imóveis;BTG Pactual;FOLLOW-ON;ICVM 476;22/10/2019;R$ 22,50;24/10/19; - ; 988 ; 637.875.000 ; - ; 637.875.000 ;0%;38%;18%;44%;;;;;
;CYRE COM-CCP;NM;Exploração de Imóveis;Bradesco BBI;FOLLOW-ON;ICVM 400;28/10/2019;R$ 19,00;30/10/19; 1.087 ; 1.329 ; 863.550.000 ; - ; 863.550.000 ;9%;57%;28%;6%;;;;;
;LOPES BRASIL;NM;Intermediação Imobiliária;Itaú BBA;FOLLOW-ON;ICVM 476;29/10/2019;R$ 7,00;31/10/19; 456 ; 548 ; 147.000.000 ; - ; 147.000.000 ;1%;73%;26%;0%;;;;;
;BANCO BMG;N1;Bancos;XP Investimentos;IPO;ICVM 400;24/10/2019;R$ 11,60;28/10/19; 4.703 ; 5.252 ; 1.200.000.013 ; 191.304.358 ; 1.391.304.371 ;10%;61%;27%;1%;;;;;
;CEA MODAS;NM;Tecidos. Vestuário e Calçados;Morgan Stanley;IPO;ICVM 400;24/10/2019;R$ 16,50;28/10/19; 4.247 ; 4.724 ; 813.698.622 ; 941.070.009 ; 1.754.768.631 ;10%;51%;39%;0%;;;;;
;MAGAZ LUIZA;NM;Eletrodomésticos;Itaú BBA;FOLLOW-ON;ICVM 476;12/11/2019;R$ 43,00;14/11/19; 2.870 ; 3.803 ; 4.300.000.000 ; 430.000.000 ; 4.730.000.000 ;0%;57%;42%;1%;;;;;
;JHSF PART;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;13/11/2019;R$ 4,75;18/11/19; - ; 1.619 ; 513.000.000 ; - ; 513.000.000 ;0%;55%;39%;6%;;;;;
;LOG-IN;NM;Transporte Hidroviário;Goldman Sachs;FOLLOW-ON;ICVM 476;21/11/2019;R$ 14,50;25/11/19; - ; 421 ; 633.650.000 ; - ; 633.650.000 ;0%;57%;35%;8%;;;;;
;BR PROPERT;NM;Exploração de Imóveis;Itaú BBA;FOLLOW-ON;ICVM 476;21/11/2019;R$ 12,50;25/11/19; 51 ; 299 ; 1.054.687.500 ; - ; 1.054.687.500 ;0%;53%;46%;0%;;;;;
;LOJAS MARISA;NM;Tecidos. Vestuário e Calçados;Itaú BBA;FOLLOW-ON;ICVM 476;04/12/2019;R$ 10,00;06/12/19; 130 ; 374 ; 567.708.330 ; - ; 567.708.330 ;0%;67%;30%;3%;;;;;
;ALIANSCSONAE;NM;Exploração de Imóveis;Bank of America;FOLLOW-ON;ICVM 476;05/12/2019;R$ 43,00;09/12/19; - ; 443 ; 1.190.769.244 ; - ; 1.190.769.244 ;0%;50%;36%;14%;;;;;
;INTERMEDICA;NM;Serv.Méd.Hospit..Análises e Diagnósticos;Itaú BBA;FOLLOW-ON;ICVM 476;11/12/2019;R$ 57,00;13/12/19; 662 ; 1.376 ; 3.705.000.000 ; 1.296.750.000 ; 5.001.750.000 ;0%;44%;55%;0%;;;;;
;LOCAMERICA;NM;Aluguel de carros;Itaú BBA;FOLLOW-ON;ICVM 476;17/12/2019;R$ 19,50;19/12/19; 593 ; 1.061 ; 1.189.500.000 ; 639.771.249 ; 1.829.271.249 ;0%;48%;51%;1%;;;;;
;MARFRIG;NM;Carnes e Derivados;Santander;FOLLOW-ON;ICVM 476;17/12/2019;R$ 10,00;19/12/19; 614 ; 681 ; 900.900.910 ; 2.096.484.270 ; 2.997.385.180 ;14%;40%;46%;0%;;;;;
;LE LIS BLANC;NM;Tecidos. Vestuário e Calçados;Santander;FOLLOW-ON;ICVM 476;18/12/2019;R$ 15,00;20/12/19; 121 ; 141 ; 258.750.000 ; - ; 258.750.000 ;30%;70%;0%;0%;;;;;
;MINERVA;NM;Carnes e Derivados;BTG Pactual;FOLLOW-ON;ICVM 476;23/01/2020;R$ 13,00;27/01/20; - ; 1.226 ; 1.040.000.000 ; 195.000.000 ; 1.235.000.000 ;0%;48%;43%;10%;;;;;
;ANIMA;NM;Serviços Educacionais;XP Investimentos;FOLLOW-ON;ICVM 476;29/01/2020;R$ 36,25;31/01/20; 96 ; 332 ; 1.100.213.600 ; - ; 1.100.213.600 ;13%;57%;30%;0%;;;;;
;POSITIVO TEC;NM;Computadores e Equipamentos;BTG Pactual;FOLLOW-ON;ICVM 476;30/01/2020;R$ 6,55;03/02/20; - ; 321 ; 353.700.000 ; - ; 353.700.000 ;0%;82%;14%;4%;;;;;
;MITRE REALTY;NM;Incorporações;Itaú BBA;IPO;ICVM 400;03/02/2020;R$ 19,30;05/02/20; 7.300 ; 7.748 ; 958.724.026 ; 94.003.236 ; 1.052.727.262 ;10%;43%;45%;2%;;;;;
;LOCAWEB;NM;Programas e Serviços;Itaú BBA;IPO;ICVM 400;04/02/2020;R$ 17,25;06/02/20; 3.180 ; 3.704 ; 574.999.994 ; 750.144.989 ; 1.325.144.983 ;10%;33%;55%;2%;;;;;
;PETROBRAS;N2;Exploração. Refino e Distribuição;Credit Suisse;FOLLOW-ON;ICVM 400;05/02/2020;R$ 30,00;07/02/20; 53.097 ; 55.292 ; - ; 22.026.080.970 ; 22.026.080.970 ;17%;44%;39%;1%;;;;;
;COGNA ON;NM;Serviços Educacionais;Itaú BBA;FOLLOW-ON;ICVM 476;11/02/2020;R$ 11,00;13/02/20; 1 ; 2.042 ; 2.555.938.044 ; - ; 2.555.938.044 ;0%;30%;45%;25%;;;;;
;MOURA DUBEUX;NM;Incorporações;Itaú BBA;IPO;ICVM 400;11/02/2020;R$ 19,00;13/02/20; 4.678 ; 4.948 ; 1.104.867.005 ; - ; 1.104.867.005 ;10%;59%;31%;0%;;;;;
;PRINER;NM;Serviços Diversos;XP Investimentos;IPO;ICVM 400;13/02/2020;R$ 10,00;17/02/20; 9.671 ; 9.909 ; 173.913.040 ; 26.086.950 ; 199.999.990 ;38%;57%;3%;3%;;;;;
;ESTAPAR;NM;Serviços Diversos;BTG Pactual;IPO;ICVM 400;13/05/2020;R$ 10,50;15/05/20; 1.104 ; 1.178 ; 300.300.000 ; - ; 300.300.000 ;10%;44%;6%;40%;;;;;
;CENTAURO;NM;Produtos Diversos;Bradesco BBI;FOLLOW-ON;ICVM 476;26/05/2020;R$ 30,00;08/06/20; 344 ; 770 ; 900.000.000 ; - ; 900.000.000 ;0%;68%;32%;1%;;;;;
;VIAVAREJO;NM;Eletrodomésticos;Bradesco BBI;FOLLOW-ON;ICVM 476;15/06/2020;R$ 15,00;17/06/20; - ; 14.556 ; 4.455.000.000 ; - ; 4.455.000.000 ;0%;41%;28%;31%;;;;;
;BTGP BANCO;N2;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;29/06/2020;R$ 24,80;01/07/20; - ; 2.556 ; 2.650.500.000 ; - ; 2.650.500.000 ;0%;48%;12%;40%;;;;;
;AURA 360;BDR;Minerais Metálicos;Credit Suisse;IPO;ICVM 476;02/07/2020;R$ 820,00;06/07/20; - ; 120 ; 301.753.440 ; 560.739.780 ; 862.493.220 ;0%;81%;18%;0%;;;;;
;JHSF PART;NM;Incorporações;BTG Pactual;FOLLOW-ON;ICVM 476;15/07/2020;R$ 9,75;17/07/20; - ; 2.687 ; 399.750.000 ; 33.422.513 ; 433.172.513 ;0%;84%;11%;5%;;;;;
;LOJAS AMERIC 4 ;N1;Produtos Diversos;BTG Pactual;FOLLOW-ON;ICVM 476;14/07/2020;R$ 32,40;16/07/20; - ; 2.073 ; 7.873.740.000 ; - ; 7.873.740.000 ;0%;35%;18%;46%;;;;;
;AMBIPAR;NM;Água e Saneamento;Bradesco BBI;IPO;ICVM 400;09/07/2020;R$ 24,75;13/07/20; 5.287 ; 5.798 ; 1.082.400.017 ; - ; 1.082.400.017 ;10%;60%;30%;0%;;;;;
;IMC S/A;NM;Restaurante e Similares;BTG Pactual;FOLLOW-ON;ICVM 476;21/07/2020;R$ 4,25;23/07/20; - ; 1.766 ; 384.412.500 ; - ; 384.412.500 ;0%;71%;9%;19%;;;;;
;IRANI;BÁSICO;Papel e Celulose;BTG Pactual;FOLLOW-ON;ICVM 476;22/07/2020;R$ 4,50;24/07/20; - ; 105 ; 405.000.000 ; - ; 405.000.000 ;0%;76%;23%;0%;;;;;
;DIMED;BÁSICO;Medicamentos e Outros Produtos;Bradesco BBI;FOLLOW-ON;ICVM 476;22/07/2020;R$ 30,00;24/07/20; - ; 809 ; 480.000.000 ; 556.713.360 ; 1.036.713.360 ;0%;56%;41%;3%;;;;;
;GRUPO SOMA;NM;Tecidos. Vestuário e Calçados;Itaú BBA;IPO;ICVM 400;29/07/2020;R$ 9,90;31/07/20; 6.726 ; 7.229 ; 1.349.999.996 ; 472.499.993 ; 1.822.499.989 ;13%;72%;15%;0%;;;;;
;D1000VFARMA;NM;Medicamentos e Outros Produtos;XP Investimentos;IPO;ICVM 400;06/08/2020;R$ 17,00;10/08/20; 6.213 ; 6.526 ; 400.115.485 ; - ; 400.115.485 ;32%;59%;7%;2%;;;;;
;QUERO-QUERO;NM;Produtos Diversos;BTG Pactual;IPO;ICVM 400;06/08/2020;R$ 12,65;10/08/20; 10.049 ; 10.844 ; 279.867.259 ; 1.951.899.023 ; 2.231.766.282 ;10%;55%;35%;0%;;;;;
;RUMO S.A.;NM;Transporte Ferroviário;Bradesco BBI;FOLLOW-ON;ICVM 476;24/08/2020;R$ 21,75;26/08/20; - ; 2.532 ; 6.400.000.010 ; - ; 6.400.000.010 ;0%;18%;17%;65%;;;;;
;BANCO INTER;N2;Bancos;Bradesco BBI;FOLLOW-ON;ICVM 476;03/09/2020;R$ 20,83;08/09/20; - ; 802 ; 1.166.248.787 ; - ; 1.166.248.787 ;0%;44%;23%;33%;;;;;
;OMEGA GER;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;01/09/2020;R$ 38,25;03/09/20; 141 ; 382 ; 896.963.533 ; - ; 896.963.533 ;0%;61%;38%;1%;;;;;
;LAVVI;NM;Incorporações;BTG Pactual;IPO;ICVM 400;31/08/2020;R$ 9,50;02/09/20; 1.392 ; 1.633 ; 1.027.064.000 ; - ; 1.027.064.000 ;15%;71%;13%;0%;;;;;
;PAGUE MENOS;NM;Medicamentos e Outros Produtos;Itaú BBA;IPO;ICVM 400;31/08/2020;R$ 8,50;02/09/20; 10.193 ; 10.569 ; 858.963.097 ; - ; 858.963.097 ;10%;29%;48%;14%;;;;;
;BANCO PAN;N1;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;27/08/2020;R$ 8,30;31/08/20; - ; 46 ; - ; 743.677.220 ; 743.677.220 ;0%;29%;25%;47%;;;;;
;PETZ;NM;Produtos Diversos;Itaú BBA;IPO;ICVM 400;09/11/2020;R$ 13,75;11/09/20; 37.928 ; 39.168 ; 336.734.695 ; 2.693.877.533 ; 3.030.612.228 ;13%;59%;28%;1%;;;;;
;PLANOEPLANO;NM;Incorporações;Itaú BBA;IPO;ICVM 400;15/09/2020;R$ 9,40;17/09/20; 613 ; 708 ; 40.006.400 ; 593.415.420 ; 633.421.820 ;6%;80%;13%;0%;;;;;
;JSL;NM;Transporte Rodoviário;XP Investimentos;FOLLOW-ON;ICVM 476;08/09/2020;R$ 9,60;10/09/20; 1.819 ; 2.144 ; 763.020.845 ; - ; 763.020.845 ;1%;39%;48%;11%;;;;;
;SANTOS BRP;NM;Serviços de Apoio e Armazenagem;BTG Pactual;FOLLOW-ON;ICVM 476;24/09/2020;R$ 4,10;28/09/20; - ; 2.244 ; 789.988.000 ; - ; 789.988.000 ;0%;81%;9%;9%;;;;;
;MELNICK;NM;Incorporações;BTG Pactual;IPO;ICVM 400;24/09/2020;R$ 8,50;28/09/20; 2.034 ; 2.237 ; 620.500.000 ; 27.324.950 ; 647.824.950 ;10%;59%;30%;1%;;;;;
;HIDROVIAS;NM;Transporte Hidroviário;Bank of America;IPO;ICVM 400;23/09/2020;R$ 7,56;25/09/20; 2.999 ; 3.359 ; - ; 3.019.664.869 ; 3.019.664.869 ;12%;52%;36%;0%;;;;;
;CURY S/A;NM;Incorporações;BTG Pactual;IPO;ICVM 400;17/09/2020;R$ 9,35;21/09/20; 1.140 ; 1.377 ; 169.999.998 ; 807.499.997 ; 977.499.995 ;10%;79%;11%;0%;;;;;
;BOA VISTA;NM;Serviços Financeiros Diversos;J.P. Morgan;IPO;ICVM 400;28/09/2020;R$ 12,20;30/09/20; 1.510 ; 1.898 ; 1.299.676.492 ; 870.065.582 ; 2.169.742.074 ;10%;28%;62%;0%;;;;;
;SUZANO;NM;Papel e Celulose;J.P. Morgan;FOLLOW-ON;ICVM 400;01/10/2020;R$ 46,00;05/10/20; 1.355 ; 1.946 ; - ; 6.910.001.550 ; 6.910.001.550 ;5%;43%;52%;1%;;;;;
;SEQUOIA LOG;NM;Serviços Diversos;BTG Pactual;IPO;ICVM 400;05/10/2020;R$ 12,40;07/10/20; 572 ; 705 ; 348.070.170 ; 557.787.687 ; 905.857.857 ;4%;27%;69%;0%;;;;;
;GRUPO MATEUS;NM;Alimentos;XP Investimentos;IPO;ICVM 400;08/10/2020;R$ 8,97;13/10/20; 16.162 ; 17.115 ; 3.099.286.441 ; 1.062.364.462 ; 4.161.650.902 ;10%;61%;27%;1%;;;;;
;GRUPO NATURA;NM;Produtos de Uso Pessoal;Morgan Stanley;FOLLOW-ON;ICVM 476;08/10/2020;R$ 46,25;13/10/20; - ; 1.635 ; 5.614.750.000 ; - ; 5.614.750.000 ;0%;37%;10%;32%;;;;;
;TRACK FIELD;N2;Vestuário;BTG Pactual;IPO;ICVM 400;22/10/2020;R$ 9,25;26/10/20; 1.267 ; 1.422 ; 182.391.500 ; 309.825.050 ; 492.216.550 ;7%;68%;24%;1%;;;;;
;MELIUZ;NM;Programas e Serviços;Itaú BBA;IPO;ICVM 400;03/11/2020;R$ 10,00;04/11/20; 1.066 ; 1.256 ; 334.677.510 ; 294.718.120 ; 629.395.630 ;10%;63%;26%;1%;;;;;
;ENJOEI;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;05/11/2020;R$ 10,25;06/11/20; 1.221 ; 1.447 ; 470.833.750 ; 515.883.761 ; 986.717.511 ;11%;71%;18%;0%;;;;;
;AURA 360;BDR;Minerais Metálicos;XP Investimentos;FOLLOW-ON;ICVM 400;06/11/2020;R$ 48,50;09/11/20; 543 ; 580 ; - ; 87.300.000 ; 87.300.000 ;14%;77%;0%;9%;;;;;
;AERIS;NM;Máq. e Equip. Industriais;BTG Pactual;IPO;ICVM 400;09/11/2020;R$ 5,55;10/11/20; 1.161 ; 1.330 ; 834.634.608 ; 294.576.884 ; 1.129.211.492 ;3%;30%;66%;0%;;;;;
;3R PETROLEUM;NM;Exploração. Refino e Distribuição;XP Investimentos;IPO;ICVM 400;09/11/2020;R$ 21,00;10/11/20; 1.412 ; 1.516 ; 690.000.003 ; - ; 690.000.003 ;8%;57%;17%;18%;;;;;
;BK BRASIL;NM;Restaurante e Similares;Itaú BBA;FOLLOW-ON;ICVM 476;17/11/2020;R$ 10,80;19/11/20; 324 ; 505 ; 510.300.000 ; - ; 510.300.000 ;0%;42%;51%;7%;;;;;
;ANIMA;NM;Serviços Educacionais;Bradesco BBI;FOLLOW-ON;ICVM 476;03/12/2020;R$ 34,00;07/12/20; - ; 297 ; 918.000.000 ; - ; 918.000.000 ;0%;45%;12%;43%;;;;;
;INTERMEDICA;NM;Serv.Méd.Hospit..Análises e Diagnósticos;Itaú  BBA;FOLLOW-ON;ICVM 476;01/12/2020;R$ 69,50;03/12/20; - ; 436 ; - ; 3.753.000.000 ; 3.753.000.000 ;0%;47%;53%;0%;;;;;
;ALPHAVILLE;NM;Incorporações;Bradesco BB;IPO;ICVM 476;09/12/2020;R$ 29,50;07/12/20; 6 ; 39 ; 305.992.585 ; - ; 305.992.585 ;2%;81%;4%;13%;;;;;
;REDE D OR;NM;Serv.Méd.Hospit..Análises e Diagnósticos;Bank of America;IPO;ICVM 400;09/12/2020;R$ 57,92;10/12/20; 41.258 ; 43.237 ; 8.437.640.047 ; 2.953.173.990 ; 11.390.814.037 ;11%;42%;47%;1%;;;;;
;NEOGRID;NM; Programas e Serviços;Credit Suisse;IPO;ICVM 400;15/12/2020;R$ 4,50;18/12/20; 2.747 ; 2.964 ; 337.500.000 ; 148.950.000 ; 486.450.000 ;18%;55%;27%;1%;;;;;
;LIGHT S/A;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;19/01/2021;R$ 20,00;21/01/21; 278 ; 663 ; 1.372.425.280 ; 1.372.425.280 ; 2.744.850.560 ;0%;66%;34%;0%;;;;;
;HBRREALTY;NM;Exploração de Imóveis;Bradesco BBI;IPO;ICVM 476;21/01/2021;R$ 19,10;26/01/21; - ; 31 ; 802.582.000 ; - ; 802.582.000 ;0%;59%;9%;33%;;;;;
;VAMOS;NM;Aluguel de carros;BTG Pactual;IPO;ICVM 476;27/01/2021;R$ 26,00;29/01/21; - ; 60 ; 889.598.528 ; 415.145.952 ; 1.304.744.480 ;0%;43%;57%;0%;;;;;
;OMEGA GER;NM;Energia Elétrica;Itaú BBA;FOLLOW-ON;ICVM 476;28/01/2021;R$ 39,00;02/02/21; - ; 191 ; - ; 954.719.922 ; 954.719.922 ;0%;67%;31%;1%;;;;;
;BTGP BANCO;N2;Bancos;BTG Pactual;FOLLOW-ON;ICVM 476;21/01/2021;R$ 30,84;26/02/21; - ; 1.674 ; 2.570.000.021 ; - ; 2.570.000.021 ;0%;45%;16%;38%;;;;;
;PETRORIO;NM;Exploração. Refino e Distribuição;BTG Pactual;FOLLOW-ON;ICVM 476;28/01/2021;R$ 69,00;01/02/21; - ; 1.499 ; 2.049.300.000 ; - ; 2.049.300.000 ;0%;56%;15%;29%;;;;;
;BRASILAGRO;NM;Agricultura;BTG Pactual;FOLLOW-ON;ICVM 476;03/02/2021;R$ 22,00;05/02/21; - ; 550 ; 440.000.000 ; 60.177.810 ; 500.177.810 ;0%;37%;48%;14%;;;;;
;LOCAWEB;NM;Programas e Serviços;Itaú BBA;FOLLOW-ON;ICVM 476;09/02/2021;R$ 30,00;11/02/21; 1.530 ; 2.638 ; 2.346.000.000 ; 408.000.000 ; 2.754.000.000 ;1%;38%;61%;0%;;;;;
;ESPACOLASER;NM;Produtos Diversos;Itaú BBA;IPO;ICVM 400;28/01/2021;R$ 17,90;01/02/21; 7.135 ; 7.837 ; 1.199.999.997 ; 1.441.623.255 ; 2.641.623.252 ;10%;62%;27%;1%;;;;;
;INTELBRAS;NM;Computadores e Equipamentos;BTG Pactual;IPO;ICVM 400;02/02/2021;R$ 15,75;04/02/21; 16.772 ; 17.280 ; 724.500.000 ; 579.600.000 ; 1.304.100.000 ;12%;77%;12%;0%;;;;;
;MOSAICO;NM;Programas e Serviços;BTG Pactual;IPO;ICVM 400;03/02/2021;R$ 19,80;05/02/21; 31.017 ; 32.377 ; 578.571.444 ; 636.428.668 ; 1.215.000.112 ;11%;72%;15%;1%;;;;;
;MOBLY;NM;Programas e Serviços;Morgan Stanley;IPO;ICVM 400;03/02/2021;R$ 21,00;05/02/21; 3.249 ; 3.591 ; 777.777.798 ; 155.555.547 ; 933.333.345 ;10%;38%;44%;9%;;;;;
;JALLESMACHADO;NM;Açucar e Alcool;XP Investimentos;IPO;ICVM 400;04/02/2021;R$ 8,30;08/02/21; 3.985 ; 4.465 ; 552.760.005 ; 138.189.995 ; 690.950.000 ;9%;60%;29%;2%;;;;;
;FOCUS ON;NM;Energia Elétrica;Morgan Stanley;IPO;ICVM 400;21/01/2021;R$ 18,02;08/02/21; 1.776 ; 2.019 ; 764.999.997 ; 7.649.995 ; 772.649.991 ;11%;42%;47%;0%;;;;;
;CRUZEIRO SUL;NM;Serviços Educacionais;BTG Pactual;IPO;ICVM 400;09/02/2021;R$ 14,00;11/02/21; 2.517 ; 2.763 ; 1.071.000.000 ; 160.650.000 ; 1.231.650.000 ;9%;51%;29%;0%;;;;;
;OCEANPACT;NM;Equipamentos e Serviços;Itaú BBA;IPO;ICVM 400;10/02/2021;R$ 11,15;12/02/21; 2.831 ; 3.114 ; 800.000.001 ; 270.000.004 ; 1.070.000.005 ;11%;76%;12%;0%;;;;;
;ORIZON;NM;Água e Saneamento;Credit Suisse;IPO;ICVM 400;11/02/2021;R$ 22,00;17/02/21; 4.867 ; 5.233 ; 381.399.040 ; 105.465.778 ; 486.864.818 ;17%;52%;28%;2%;;;;;
